"worker_id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","completion_code","guilt_1_1","guilt_2_1","guilt_3_1","curiosity_1_1","curiosity_2_1","curiosity_3_1","outrage_1_1","outrage_2_1","outrage_3_1","enjoy_1_1","enjoy_2_1","enjoy_3_1","comp_1","comp_2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","participantId","chatbot_farewell_message","actual_farewell","condition","id"
"Anonymized","2025-05-24 03:06:36","2025-05-24 03:06:59","0","Anonymized","100","23","1","2025-05-24 03:07:00","R_6itgjubrFraPIGl","","","","","Anonymized","Anonymized","anonymous","EN","1","1","2","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 07:12:46","2025-05-24 07:13:02","0","Anonymized","100","16","1","2025-05-24 07:13:03","R_6thQIfGiYbVzIIH","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 07:30:46","2025-05-24 07:38:31","0","Anonymized","13","465","0","2025-05-31 07:38:33","R_1dp4Wc7KzcRumt8","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 09:52:43","2025-05-24 09:55:30","0","Anonymized","13","167","0","2025-05-31 09:55:35","R_7LGE1GxFecFiQOB","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 04:35:24","2025-05-24 04:36:11","0","Anonymized","100","46","1","2025-05-24 04:36:12","R_38jwPVltMqbOKqJ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 05:41:36","2025-05-24 05:42:14","0","Anonymized","100","38","1","2025-05-24 05:42:14","R_6cLi9mKbydXCbHr","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 08:58:29","2025-05-24 09:07:38","0","Anonymized","16","548","0","2025-05-31 09:07:41","R_3WCffjVwOfwMbrn","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 02:01:58","2025-05-24 02:03:25","0","Anonymized","100","86","1","2025-05-24 02:03:25","R_54IAk59iOLhHTze","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 05:35:18","2025-05-24 05:35:51","0","Anonymized","100","33","1","2025-05-24 05:35:51","R_5qh8IbqfLPtRZZr","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 07:36:13","2025-05-24 07:36:30","0","Anonymized","100","17","1","2025-05-24 07:36:31","R_1DGdsUyiJUVHR7g","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 02:44:00","2025-05-24 02:50:57","0","Anonymized","13","416","0","2025-05-31 02:50:58","R_3DvfAEUcWfnQA0U","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 09:20:56","2025-05-24 09:32:32","0","Anonymized","6","696","0","2025-05-31 09:32:40","R_3YAkFkwBORTAQ3v","","","","","Anonymized","Anonymized","anonymous","EN","1","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 09:21:48","2025-05-24 09:22:38","0","Anonymized","100","50","1","2025-05-24 09:22:39","R_794WWUTShfB6njc","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 08:24:49","2025-05-24 08:25:26","0","Anonymized","100","37","1","2025-05-24 08:25:26","R_7zeF71maqgQW0cl","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 06:55:07","2025-05-24 06:55:57","0","Anonymized","13","49","0","2025-05-31 06:56:00","R_5djnQmOXmF8kJYY","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 07:40:19","2025-05-24 07:40:41","0","Anonymized","100","22","1","2025-05-24 07:40:42","R_6w4PM7CGeHON07g","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
"Anonymized","2025-05-24 09:44:58","2025-05-24 09:45:25","0","Anonymized","100","26","1","2025-05-24 09:45:25","R_7EEJoENNwc6WMeF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","Anonymized","","","",NA
